HQ country,HQ country full name,Destination,Total
CHN,中国大陆,北美,0.358
USA,美国,北美,0.598
CYP,塞浦路斯,北美,0.309
TUR,土耳其,北美,0.447
VNM,越南,北美,0.253
GBR,英国,北美,0.375
KOR,韩国,北美,0.278
ISR,以色列,北美,0.472
FRA,法国,北美,0.358
JPN,日本,北美,0.313
IRL,爱尔兰,北美,0.513
DEU,德国,北美,0.398
BRA,巴西,北美,0.352
IND,印度,北美,0.348
CHN,中国大陆,欧洲,0.251
USA,美国,欧洲,0.218
CYP,塞浦路斯,欧洲,0.323
TUR,土耳其,欧洲,0.281
VNM,越南,欧洲,0.301
GBR,英国,欧洲,0.302
KOR,韩国,欧洲,0.216
ISR,以色列,欧洲,0.295
FRA,法国,欧洲,0.312
JPN,日本,欧洲,0.199
IRL,爱尔兰,欧洲,0.236
DEU,德国,欧洲,0.365
BRA,巴西,欧洲,0.314
IND,印度,欧洲,0.330
CHN,中国大陆,亚太地区,0.269
USA,美国,亚太地区,0.099
CYP,塞浦路斯,亚太地区,0.179
TUR,土耳其,亚太地区,0.167
VNM,越南,亚太地区,0.239
GBR,英国,亚太地区,0.155
KOR,韩国,亚太地区,0.407
ISR,以色列,亚太地区,0.122
FRA,法国,亚太地区,0.171
JPN,日本,亚太地区,0.346
IRL,爱尔兰,亚太地区,0.183
DEU,德国,亚太地区,0.121
BRA,巴西,亚太地区,0.120
IND,印度,亚太地区,0.158
CHN,中国大陆,世界其他地区,0.122
USA,美国,世界其他地区,0.084
CYP,塞浦路斯,世界其他地区,0.189
TUR,土耳其,世界其他地区,0.105
VNM,越南,世界其他地区,0.208
GBR,英国,世界其他地区,0.168
KOR,韩国,世界其他地区,0.100
ISR,以色列,世界其他地区,0.111
FRA,法国,世界其他地区,0.159
JPN,日本,世界其他地区,0.141
IRL,爱尔兰,世界其他地区,0.068
DEU,德国,世界其他地区,0.115
BRA,巴西,世界其他地区,0.214
IND,印度,世界其他地区,0.164
